Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,746.52,746.52
Wetland - Medium Probability,1.83,3.98
Wetland - High Probability,0.00,0.01
Wetland - Low Probability,6.26,4.10
