Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,20.2338031247
Wetland - High Probability,0.0,-94.6096654275
Wetland - Low Probability,0.0,36.3531669866
