Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.000919497954109
Wetland - Medium Probability,0.0,-66.2145053355
Wetland - High Probability,0.0,-451.063829787
Wetland - Low Probability,0.0,35.0866655226
