Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,2.86,2.86
Non Wetland,3464.28,3464.31
Wetland - Medium Probability,159.97,265.97
Wetland - High Probability,11.29,35.95
Wetland - Low Probability,282.51,151.82
