Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,502.44,502.49
Non Wetland,849.10,850.14
Wetland - Medium Probability,160.86,162.16
Wetland - High Probability,74.93,86.16
Wetland - Low Probability,291.96,278.34
