Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-27.7687296417
Wetland - High Probability,0.0,-85.2112676056
Wetland - Low Probability,0.0,25.9204712813
