Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.97,0.97
Non Wetland,758.83,758.84
Wetland - Medium Probability,118.70,114.11
Wetland - High Probability,81.23,112.64
Wetland - Low Probability,89.41,62.59
