Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.04,0.04
Non Wetland,2379.71,2379.75
Wetland - Medium Probability,97.70,176.89
Wetland - High Probability,0.56,8.48
Wetland - Low Probability,270.70,183.56
