Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,513.97,513.97
Wetland - Medium Probability,0.00,0.00
Wetland - High Probability,0.0,0.0
Wetland - Low Probability,0.09,0.08
