Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.010482912852
Non Wetland,0.0,-0.00709293835402
Wetland - Medium Probability,0.0,-27.7351567712
Wetland - High Probability,0.0,-179.650565262
Wetland - Low Probability,0.0,36.9978727996
