Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.474934036939
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-46.3414634146
Wetland - High Probability,0.0,-0.149925037481
Wetland - Low Probability,0.0,17.875
