Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.09,0.09
Non Wetland,816.63,816.63
Wetland - Medium Probability,13.55,23.57
Wetland - High Probability,0.27,0.92
Wetland - Low Probability,35.61,24.94
