Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,2.05,2.05
Non Wetland,2330.59,2330.59
Wetland - Medium Probability,72.26,135.61
Wetland - High Probability,3.54,9.74
Wetland - Low Probability,178.22,108.66
