Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.10,0.10
Non Wetland,1398.73,1398.73
Wetland - Medium Probability,51.58,64.88
Wetland - High Probability,1.47,5.75
Wetland - Low Probability,121.36,103.77
