Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.10,0.10
Non Wetland,1401.50,1401.50
Wetland - Medium Probability,77.15,127.74
Wetland - High Probability,1.75,5.92
Wetland - Low Probability,169.92,115.17
