Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,21.59,21.59
Non Wetland,1697.00,1697.00
Wetland - Medium Probability,6.85,8.72
Wetland - High Probability,0.44,1.69
Wetland - Low Probability,7.15,4.03
