Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.0487852473412
Non Wetland,0.0,-0.00420887230281
Wetland - Medium Probability,0.0,-39.0780346821
Wetland - High Probability,0.0,-58.5849056604
Wetland - Low Probability,0.0,39.4574073284
