Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.75,0.75
Non Wetland,1639.81,1639.81
Wetland - Medium Probability,28.63,76.10
Wetland - High Probability,0.04,1.07
Wetland - Low Probability,147.34,98.85
