Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.0,0.0
Non Wetland,2186.66,2186.66
Wetland - Medium Probability,92.57,155.91
Wetland - High Probability,11.41,26.56
Wetland - Low Probability,172.29,93.80
