Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,-0.00032809598401
Non Wetland,0.0,-0.000111573303523
Wetland - Medium Probability,0.0,-38.5780877279
Wetland - High Probability,0.0,-93.368186305
Wetland - Low Probability,0.0,31.1372324842
