Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,-0.00311379211758
Wetland - Medium Probability,0.0,-61.0664718773
Wetland - High Probability,0.0,-1123.80952381
Wetland - Low Probability,0.0,32.6973684211
