Class,Size in square kilometers (2017),Size in square kilometers (2018)
Permanent Water,0.00,0.00
Non Wetland,951.39,951.39
Wetland - Medium Probability,2.84,4.95
Wetland - High Probability,0.10,0.56
Wetland - Low Probability,12.14,9.58
