Class,Percentage area change from 2017 (2017),Percentage area change from 2017 (2018)
Permanent Water,0.0,0.0
Non Wetland,0.0,0.0
Wetland - Medium Probability,0.0,-16.8831168831
Wetland - High Probability,0.0,-261.363636364
Wetland - Low Probability,0.0,14.7695943285
